indicator_id,indicator_name,unit,frequency,week_ending,US_value,US_prior,US_wow_pct,EA_value,EA_prior,EA_wow_pct,SG_value,SG_prior,SG_wow_pct,CN_value,CN_prior,CN_wow_pct,IN_value,IN_prior,IN_wow_pct,SL_value,SL_prior,SL_wow_pct,ingested_at
F2,FX vs USD (WoW %),% WoW,Weekly,2026-04-17,98.0999984741211,98.6500015258789,-0.5575,1.1782727241516113,1.1691256761550903,0.7824,-1.2731200456619263,-1.2732900381088257,-0.0134,-6.821100234985352,-6.831399917602539,-0.1508,-93.04789733886719,-92.46980285644531,0.6252,-312.8644714355469,-312.1395263671875,0.2323,2026-06-09T07:11:59.575720
F2,FX vs USD (WoW %),% WoW,Weekly,2026-04-24,98.51000213623047,98.0999984741211,0.4179,1.16838800907135,1.1782727241516113,-0.8389,-1.2777999639511108,-1.2731200456619263,0.3676,-6.826000213623047,-6.821100234985352,0.0718,-94.11289978027344,-93.04789733886719,1.1446,-314.18994140625,-312.8644714355469,0.4237,2026-06-09T07:11:59.575720
F2,FX vs USD (WoW %),% WoW,Weekly,2026-05-01,98.20999908447266,98.51000213623047,-0.3045,1.172910451889038,1.16838800907135,0.3871,-1.2727999687194824,-1.2777999639511108,-0.3913,-6.827300071716309,-6.826000213623047,0.019,-94.75910186767578,-94.11289978027344,0.6866,-316.609130859375,-314.18994140625,0.77,2026-06-09T07:11:59.575720
F2,FX vs USD (WoW %),% WoW,Weekly,2026-05-08,97.83999633789062,98.20999908447266,-0.3767,1.1731581687927246,1.172910451889038,0.0211,-1.2691400051116943,-1.2727999687194824,-0.2876,-6.801400184631348,-6.827300071716309,-0.3794,-94.25299835205078,-94.75910186767578,-0.5341,-319.5767517089844,-316.609130859375,0.9373,2026-06-09T07:11:59.575720
F2,FX vs USD (WoW %),% WoW,Weekly,2026-05-15,99.2699966430664,97.83999633789062,1.4616,1.166208028793335,1.1731581687927246,-0.5924,-1.2764699459075928,-1.2691400051116943,0.5776,-6.785099983215332,-6.801400184631348,-0.2397,-95.70989990234375,-94.25299835205078,1.5457,-322.33099365234375,-319.5767517089844,0.8618,2026-06-09T07:11:59.575720
F2,FX vs USD (WoW %),% WoW,Weekly,2026-05-22,99.31999969482422,99.2699966430664,0.0504,1.1621150970458984,1.166208028793335,-0.351,-1.2777299880981445,-1.2764699459075928,0.0987,-6.802499771118164,-6.785099983215332,0.2564,-96.17389678955078,-95.70989990234375,0.4848,-342.3795166015625,-322.33099365234375,6.2199,2026-06-09T07:11:59.575720
F2,FX vs USD (WoW %),% WoW,Weekly,2026-05-29,98.91000366210938,99.31999969482422,-0.4128,1.1652837991714478,1.1621150970458984,0.2727,-1.2755000591278076,-1.2777299880981445,-0.1745,-6.7795000076293945,-6.802499771118164,-0.3381,-96.04820251464844,-96.17389678955078,-0.1307,-325.3506164550781,-342.3795166015625,-4.9737,2026-06-09T07:11:59.575720
F2,FX vs USD (WoW %),% WoW,Weekly,2026-06-05,100.06999969482422,98.91000366210938,1.1728,1.1612648963928223,1.1652837991714478,-0.3449,-1.284690022468567,-1.2755000591278076,0.7205,-6.773499965667725,-6.7795000076293945,-0.0885,-95.79029846191406,-96.04820251464844,-0.2685,-333.9920349121094,-325.3506164550781,2.656,2026-06-09T07:11:59.575720
F2,FX vs USD (WoW %),% WoW,Weekly,2026-06-12,99.90299987792969,100.06999969482422,-0.1669,1.1544678211212158,1.1612648963928223,-0.5853,-1.2905000448226929,-1.284690022468567,0.4523,-6.771299839019775,-6.773499965667725,-0.0325,-95.5999984741211,-95.79029846191406,-0.1987,-337.0299987792969,-333.9920349121094,0.9096,2026-06-09T07:11:59.575720
F2,FX vs USD (WoW %),% WoW,Weekly,2025-04-18,99.37999725341797,,,1.1396790742874146,,,1.3102999925613403,,,7.3119001388549805,,,85.62049865722656,,,295.19866943359375,,,2026-06-09T07:12:51.110958
